,seats,kms_driven,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1192,5,62000,2015,28.4,1248,1248,7402,5.5
1193,5,57000,2020,14.8,1497,1497,12136,8.5
1194,5,21000,2015,19.4,1198,1198,868,3.9
1195,5,43415,2013,22.38,1197,1197,8850,4.08
1196,5,24412,2017,22.54,1396,1396,8873,7.58
1197,7,45000,2021,14.11,2199,2199,1972,25.9
1198,5,24020,2015,1197,82,82,114,4.8
1199,5,70251,2018,21.21,1197,1197,8180,5.33
1200,5,44000,2018,18.4,1498,1498,11935,9.9
1201,4,86212,2021,796,4036,4036,60,4.2
1202,5,64000,2018,17,1591,1591,1213,9.5
1203,5,39458,2015,1197,82,82,114,4.65
1204,5,70598,2012,22.9,1248,1248,74,3.56
1205,5,94000,2017,17.8,1198,1198,867,4.75
1206,5,48325,2016,1197,82,82,114,4.3
1207,5,66000,2016,14.28,1798,1798,13803,6.5
1208,5,86001,2015,26,1498,1498,986,5.75
1209,5,62000,2014,14.28,1798,1798,13803,6.9
1210,5,50000,2016,17.43,1396,1396,1055,6.25
1211,5,79000,2016,20.5,1582,1582,1262,9.25
1212,5,74002,2017,28.4,1248,1248,7402,6.75
1213,5,74000,2014,7.81,5461,5461,3629,52.9
1214,5,65000,2015,23.9,1582,1582,12632,5.9
1215,5,39718,2021,21,1197,1197,8180,7.58
1216,5,67529,2016,1197,82,82,114,4.5
1217,7,110000,2016,14.75,2967,2967,245,40
1218,5,88281,2017,21.4,1197,1197,831,5.01
1219,5,64160,2016,1197,82,82,114,4.12
1220,5,88000,2018,16.38,1995,1995,18246,15.5
1221,5,77253,2017,22.38,1197,1197,8850,4.91
1222,5,72000,2013,16.55,1968,1968,14751,11.9
1223,5,102614,2012,16.8,1497,1497,1164,4.01
1224,5,78911,2017,17.8,1497,1497,1173,6.37
1225,5,99000,2015,15.3,2993,2993,258,28.9
1226,5,47975,2017,18.9,1197,1197,8186,4.96
1227,5,56000,2018,19.27,2143,2143,16762,29.5
1228,7,121000,2014,11.3,2987,2987,2548,35
1229,5,78000,2015,15.26,2143,2143,2032,23.9
1230,5,75000,2015,15.87,2993,2993,30843,32.9
1231,5,44000,2020,1999,2454,2454,430,53.5
1232,5,42000,2019,23.1,998,998,6704,4.5
1234,5,60000,2018,21.4,1197,1197,831,5.1
1235,5,64657,2015,1197,82,82,114,4.02
1236,5,100657,2018,19,1199,1199,887,5.67
1237,5,32000,2018,13,1591,1591,1213,10.9
1238,5,50570,2012,19.4,1198,1198,868,2.8
1239,5,42392,2016,18.9,1197,1197,82,5.13
1240,5,78000,2014,22.7,1498,1498,8984,3.75
1241,5,62155,2015,1197,82,82,114,4.19
1242,5,100000,2007,15,1586,1586,10468,1.55
1243,5,94822,2016,22.54,1396,1396,8873,5.43
1244,5,59422,2016,814,552,552,745,2.91
1245,5,82000,2020,1497,11343,11343,144,13.9
1246,5,70727,2017,17,1591,1591,1213,9.12
1247,5,79000,2020,1497,11343,11343,144,12.9
1248,5,120000,2014,19.01,1461,1461,10845,3.45
1249,5,120000,2012,21.64,1461,1461,848,2.25
1250,5,120000,2013,22.7,1582,1582,12624,4
1251,7,70000,2016,18.49,1493,1493,100,6.15
1252,5,61000,2017,20.68,1995,1995,188,19.75
1253,5,92000,2014,18,1198,1198,867,3.6
1254,7,58857,2016,15.4,1497,1497,1173,6.5
1255,5,68237,2016,20.51,998,998,6704,3.89
1256,5,31237,2021,21.01,1197,1197,8180,7.27
1257,5,45000,2017,20.14,1197,1197,8186,4.95
1258,5,93027,2012,22.9,1248,1248,74,3.71
1259,5,122688,2014,23.4,1248,1248,74,4.22
1260,5,53000,2020,25.8,1498,1498,986,6.75
1261,5,60464,2019,21.63,998,998,6705,4.6
1263,5,40171,2014,17.4,1497,1497,1173,5.17
1264,5,122223,2018,17.8,1198,1198,867,5.8
1265,5,44000,2010,1086,6805,6805,9904,2.4
1266,5,77299,2015,18.9,1197,1197,82,4.79
1267,5,39000,2019,16.35,1956,1956,16767,13.95
1268,5,120000,2018,17.1,1956,1956,170,11
1269,5,29000,2022,15.43,1498,1498,10849,12.9
1270,5,60000,2017,18.7,1199,1199,887,4.75
1271,5,80000,2017,22.54,1396,1396,8873,6.9
1272,5,78000,2015,21.7,1498,1498,9896,5.5
1273,5,58000,2016,24.7,1498,1498,9789,5.5
1274,5,67000,2015,1120,70,70,160,4.25
1275,5,44019,2014,18.6,1197,1197,858,3.15
1276,5,11962,2021,24.97,998,998,6571,5.69
1277,5,44002,2009,19.7,796,796,463,95000
1278,5,13066,2020,22.05,796,796,4733,3.69
1279,5,36015,2016,18.9,1197,1197,82,3.61
1280,5,14000,2021,19.65,1197,1197,8676,6.99
1281,5,11880,2020,998,5833,5833,78,4.74
1282,5,35000,2009,1086,6805,6805,9904,2.25
1283,7,65018,2015,1248,8850,8850,200,4.75
1284,5,28061,2020,22.05,796,796,4733,3.43
1285,5,40300,2019,13.9,1498,1498,105,6.5
1286,5,58231,2019,23.95,998,998,6705,3.32
1288,5,13000,2021,20.28,998,998,11841,8.9
1289,5,32997,2020,22.05,796,796,4733,3.39
1290,5,41203,2015,18.7,1199,1199,887,3.99
1292,5,6818,2019,19.4,1194,1194,9493,5.4
1293,5,44000,2016,26,1498,1498,986,5.5
1294,5,29200,2019,25.6,1498,1498,979,8.75
1295,5,16016,2011,1086,6805,6805,9904,1.85
1296,5,26638,2020,21.7,998,998,6571,4.19
1297,5,44000,2016,26,1498,1498,986,5.5
1298,5,18930,2020,998,5833,5833,78,4.79
1299,5,5700,2019,2995,340,340,450,1.05
1300,5,29200,2019,25.6,1498,1498,979,8.75
1301,5,26580,2019,998,5833,5833,78,4.49
1302,7,35000,2018,15.4,1497,1497,1173,7.45
1303,5,32000,2018,16.9,1395,1395,14751,21
1304,5,68499,2019,17.6,1582,1582,1262,10.83
1305,5,53750,2018,23,1498,1498,9896,6.85
1306,5,48341,2019,22.05,796,796,4733,3.03
1307,5,25000,2018,3996,641,641,850,3.6
1308,5,34260,2018,21.5,1197,1197,8180,3.95
1309,5,48380,2018,23,1498,1498,9896,5.83
1310,5,52000,2018,19.67,1582,1582,1262,9.95
1311,8,23022,2016,796,342,342,59,2.25
1312,5,26610,2019,23.95,998,998,6705,3.65
1313,7,66019,2018,24.2,1498,1498,9387,7.75
1314,5,42320,2014,998,671,671,90,2.29
1315,5,25484,2020,998,5833,5833,78,4.77
1316,5,25171,2013,998,671,671,90,2.22
1317,5,78006,2011,23,1396,1396,904000,2.55
1318,5,21607,2018,19.34,1198,1198,7594,4.7
1319,5,52162,2019,16.5,1353,1353,13808,11.92
1320,5,23435,2016,16.77,2993,2993,26149,45
1321,5,20336,2021,19.2,999,999,11398,12.81
1322,5,68591,2018,25.1,1248,1248,885,6.75
1323,5,65341,2014,25.2,1248,1248,74,3.44
1324,5,23329,2017,22.5,999,999,67,2.72
1325,5,84000,2015,25.1,1498,1498,986,5.25
1326,5,19000,2018,21.43,1364,1364,8679,14.95
1327,5,100500,2013,1248,7394,7394,190,2.45
1328,5,58500,2019,23,1498,1498,9896,6.65
1329,5,66455,2018,19.6,2400,2400,190,19.35
1330,5,1229,2023,24.97,998,998,6571,5.9
1331,5,12100,2022,245.59,370,370,19,50
1332,5,26597,2021,18.2,998,998,11835,9.25
1333,5,73616,2015,22,1197,1197,8180,3.75
1334,5,53657,2011,18.5,1197,1197,805200,2.63
1335,5,37016,2014,814,552,552,745,2.05
1336,5,62466,2017,18.7,1199,1199,887,3.9
1337,5,20041,2021,20.7,1197,1197,8186,6.19
1338,5,49000,2017,21.21,1197,1197,8180,3.65
1339,5,44669,2014,19.1,1197,1197,858,3.79
1340,5,28500,2019,20.7,1197,1197,8186,5.45
1341,5,19843,2014,998,671,671,90,3.05
1342,5,44800,2014,19.1,1197,1197,858,3.81
1343,5,44275,2016,21.21,1197,1197,8180,3.75
1344,5,27012,2020,21.21,1197,1197,8180,5.45
1345,5,35629,2018,20.52,1197,1197,8180,4.25
1346,5,37009,2017,23.95,998,998,6705,2.75
1347,5,28000,2011,16.95,1197,1197,789,2.7
1348,5,46022,2014,19.81,1086,1086,6805,2.35
1349,5,100000,2009,1086,6805,6805,9904,1.25
1350,7,22302,2018,17.5,1373,1373,911,6.9
1351,5,17000,2021,9.8,2995,2995,340,80
1352,5,7400,2023,14.6,1956,1956,16767,20.25
1353,5,17024,2018,22.7,799,799,5364,2.72
1354,5,71649,2014,23.59,1364,1364,6704,3.32
1355,5,9016,2022,998,6705,6705,90,5.05
1356,5,44999,2015,16.78,1496,1496,8873,3.74
1357,5,78106,2016,19.87,1461,1461,838,5.1
1358,5,34016,2015,814,552,552,745,2.15
1359,5,85692,2014,25.2,1248,1248,74,3.47
1360,5,6500,2021,17.33,1199,1199,11835,7.98
1361,5,35080,2021,18.27,998,998,11835,8.99
1362,5,77727,2016,16.2,1199,1199,74,3.77
1363,5,43000,2014,18.5,1197,1197,8285,3.49
1364,5,30000,2019,18.9,1197,1197,8186,4.25
1365,7,42364,2016,17.45,1493,1493,100,4.5
1366,5,7000,2015,16.5,1198,1198,868,4.95
1367,5,54000,2016,18.7,1199,1199,887,3.95
1368,5,45000,2009,17.5,1298,1298,858,2.25
1369,5,44018,2013,19.1,1197,1197,858,3.45
1370,5,18500,2020,16.5,1799,1799,13946,12.9
1371,5,43002,2011,17.92,1086,1086,621,1.75
1372,5,13200,2020,12.74,1991,1991,197,50
1373,5,69381,2019,23.01,999,999,67,3.27
1374,5,64275,2015,19.67,1582,1582,1262,6.28
